Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
19,M,1,1,1,1,1,1,3087,0,0.7197856
19,M,1,1,2,4,4,4,4598,1,0.5326328
19,M,1,1,3,2,2,2,12309,12,0.6126186
19,M,1,1,4,4,1,1,6787,0,0.7990071
19,M,1,1,5,2,4,4,2676,1,0.5748106
19,M,1,1,6,3,3,3,4043,0,0.1384052
19,M,1,1,7,3,1,1,2776,0,0.4385363
19,M,1,1,8,1,3,3,4176,0,0.3792724
19,M,1,1,9,3,2,2,2599,0,0.591682
19,M,1,1,10,4,3,3,7542,0,0.328318
19,M,1,1,11,2,1,1,1932,0,0.3166816
19,M,1,1,12,2,3,3,4976,0,0.4536808
19,M,1,1,13,1,2,2,4765,0,0.3889574
19,M,1,1,14,1,4,4,4532,0,0.8299796
19,M,1,1,15,4,2,2,2187,1,0.2714469
19,M,1,1,16,3,4,4,4609,0,0.5424619
19,M,1,2,1,1,7,3,6820,2,0.5502408
19,M,1,2,2,2,8,4,2098,0,0.8414418
19,M,1,2,3,4,5,1,6920,1,0.5440798
19,M,1,2,4,1,8,4,5098,0,0.5664794
19,M,1,2,5,2,7,3,9332,0,0.7338306
19,M,1,2,6,4,8,4,2010,0,0.6617645
19,M,1,2,7,4,7,3,3865,0,0.6781679
19,M,1,2,8,3,8,4,9409,0,0.6759161
19,M,1,2,9,4,6,2,2076,0,0.6822721
19,M,1,2,10,3,5,1,3610,0,0.07853261
19,M,1,2,11,2,6,2,3543,0,0.3170795
19,M,1,2,12,2,5,1,1754,0,0.4441091
19,M,1,2,13,3,7,3,4443,0,0.08412703
19,M,1,2,14,3,6,2,5409,0,0.3542982
19,M,1,2,15,1,5,1,1487,0,0.5017012
19,M,1,2,16,1,6,2,2321,0,0.3323419
19,M,1,3,1,4,9,1,2232,0,0.5546976
19,M,1,3,2,4,11,3,3176,0,0.61624
19,M,1,3,3,2,10,2,1298,0,0.4468253
19,M,1,3,4,2,12,4,1487,0,0.2367121
19,M,1,3,5,3,10,2,2965,0,0.4962105
19,M,1,3,6,1,11,3,2342,0,0.3405267
19,M,1,3,7,1,10,2,1832,0,0.3244651
19,M,1,3,8,2,11,3,5498,1,0.8507856
19,M,1,3,9,2,9,1,1432,0,0.2720857
19,M,1,3,10,3,12,4,2765,0,0.6910373
19,M,1,3,11,3,9,1,7043,0,0.4562636
19,M,1,3,12,4,10,2,2410,0,0.3818199
19,M,1,3,13,1,12,4,2243,0,0.7345204
19,M,1,3,14,1,9,1,1454,0,0.41855
19,M,1,3,15,4,12,4,2454,0,0.8237554
19,M,1,3,16,3,11,3,2021,0,0.2706179
19,M,1,4,1,3,13,1,2321,0,0.3617471
19,M,1,4,2,2,16,4,1521,0,0.6988994
19,M,1,4,3,4,13,1,1920,0,0.5517843
19,M,1,4,4,1,14,2,6865,0,0.6445793
19,M,1,4,5,3,15,3,1443,0,0.2383552
19,M,1,4,6,4,16,4,5309,0,0.4711185
19,M,1,4,7,1,15,3,3531,0,0.1808385
19,M,1,4,8,1,16,4,2710,0,0.9533105
19,M,1,4,9,2,14,2,3276,2,0.3164071
19,M,1,4,10,3,16,4,2765,0,0.4476933
19,M,1,4,11,4,14,2,1743,0,0.08060895
19,M,1,4,12,2,15,3,2843,0,0.9123077
19,M,1,4,13,3,14,2,1465,0,0.3229556
19,M,1,4,14,1,13,1,2254,0,0.3109235
19,M,1,4,15,4,15,3,2465,0,0.8876573
19,M,1,4,16,2,13,1,1620,0,0.4937252
19,M,1,5,1,3,19,3,3698,0,0.1890845
19,M,1,5,2,2,18,2,1387,0,0.3477536
19,M,1,5,3,1,17,1,2721,0,0.287079
19,M,1,5,4,3,20,4,2276,0,0.8097456
19,M,1,5,5,2,19,3,5332,0,0.7853471
19,M,1,5,6,4,20,4,3987,1,0.171085
19,M,1,5,7,3,17,1,2276,0,0.2191645
19,M,1,5,8,2,20,4,1365,0,0.7263416
19,M,1,5,9,1,18,2,4309,1,0.6159038
19,M,1,5,10,1,20,4,3376,1,0.2532586
19,M,1,5,11,1,19,3,3343,0,0.3427251
19,M,1,5,12,4,17,1,4920,0,0.1992133
19,M,1,5,13,4,18,2,2254,0,0.4901477
19,M,1,5,14,2,17,1,1598,0,0.2089614
19,M,1,5,15,4,19,3,3176,0,0.4646027
19,M,1,5,16,3,18,2,2431,0,0.9738997
19,M,1,6,1,3,21,1,2787,0,0.3892494
19,M,1,6,2,3,22,2,1643,0,0.5483919
19,M,1,6,3,3,23,3,1698,0,0.2804092
19,M,1,6,4,3,24,4,2842,0,0.669345
19,M,1,6,5,2,23,3,6665,0,0.661683
19,M,1,6,6,4,21,1,1898,0,0.2727254
19,M,1,6,7,2,24,4,1432,0,0.5331349
19,M,1,6,8,2,22,2,1176,0,0.8007739
19,M,1,6,9,1,23,3,5232,0,0.4469602
19,M,1,6,10,1,22,2,5654,1,0.3788019
19,M,1,6,11,4,24,4,2354,0,0.3927978
19,M,1,6,12,1,21,1,2298,0,0.5614079
19,M,1,6,13,4,22,2,3576,0,0.3831346
19,M,1,6,14,4,23,3,1954,0,0.6616971
19,M,1,6,15,2,21,1,1754,0,0.4610083
19,M,1,6,16,1,24,4,2521,0,0.3165402
19,M,1,7,1,3,27,3,1754,0,0.3204234
19,M,1,7,2,3,25,1,4409,0,0.4642771
19,M,1,7,3,4,26,2,6998,0,0.704381
19,M,1,7,4,1,27,3,2498,0,0.3146413
19,M,1,7,5,2,25,1,1643,0,0.2038001
19,M,1,7,6,3,28,4,3643,0,0.4925081
19,M,1,7,7,4,25,1,2254,0,0.4155825
19,M,1,7,8,4,27,3,3254,0,0.7405986
19,M,1,7,9,1,28,4,2198,0,0.8051736
19,M,1,7,10,1,26,2,2031,0,0.9201428
19,M,1,7,11,4,28,4,12220,4,0.7697653
19,M,1,7,12,1,25,1,2154,0,0.4616415
19,M,1,7,13,3,26,2,3609,0,0.7416792
19,M,1,7,14,2,28,4,7332,3,0.712073
19,M,1,7,15,2,27,3,4943,0,0.3600759
19,M,1,7,16,2,26,2,8987,0,0.4890409
19,M,1,8,1,3,29,1,3409,0,0.2707859
19,M,1,8,2,4,31,3,6343,0,0.7311994
19,M,1,8,3,2,32,4,2843,0,0.07299503
19,M,1,8,4,3,31,3,2698,0,0.3624118
19,M,1,8,5,3,30,2,3154,0,0.1437698
19,M,1,8,6,2,29,1,2876,0,0.6417125
19,M,1,8,7,1,30,2,2187,0,0.2549874
19,M,1,8,8,2,31,3,3298,0,0.9370776
19,M,1,8,9,2,30,2,2298,0,0.8286028
19,M,1,8,10,1,29,1,2365,0,0.6910806
19,M,1,8,11,3,32,4,8554,0,0.7234593
19,M,1,8,12,4,30,2,1576,0,0.7033364
19,M,1,8,13,1,32,4,2332,0,0.6577366
19,M,1,8,14,4,29,1,3265,1,0.4338054
19,M,1,8,15,4,32,4,2032,0,0.4493811
19,M,1,8,16,1,31,3,2643,0,0.5816994
19,M,1,9,1,1,36,4,2065,0,0.8049601
19,M,1,9,2,3,34,2,1987,0,0.3273097
19,M,1,9,3,1,33,1,2365,0,0.5790544
19,M,1,9,4,1,35,3,5465,1,0.2209601
19,M,1,9,5,1,34,2,3787,0,0.2801027
19,M,1,9,6,4,35,3,3987,0,0.1873047
19,M,1,9,7,2,34,2,1365,0,0.6433021
19,M,1,9,8,3,36,4,5732,3,0.7425562
19,M,1,9,9,4,33,1,3720,0,0.8727307
19,M,1,9,10,2,36,4,3765,0,0.2733376
19,M,1,9,11,2,33,1,2498,0,0.7658677
19,M,1,9,12,4,34,2,2387,0,0.6519043
19,M,1,9,13,2,35,3,3787,0,0.73566
19,M,1,9,14,3,33,1,4309,0,0.8740854
19,M,1,9,15,4,36,4,3820,1,0.6999269
19,M,1,9,16,3,35,3,3231,0,0.9320956
19,M,1,10,1,2,40,4,3521,1,0.4922437
19,M,1,10,2,1,39,3,3876,0,0.3649941
19,M,1,10,3,4,37,1,3187,0,0.5044597
19,M,1,10,4,2,38,2,2343,0,0.8450803
19,M,1,10,5,1,37,1,2609,0,0.3532146
19,M,1,10,6,3,40,4,3154,0,0.9695661
19,M,1,10,7,4,39,3,7387,0,0.897787
19,M,1,10,8,3,38,2,2321,0,0.1255575
19,M,1,10,9,2,39,3,2610,0,0.638229
19,M,1,10,10,4,38,2,285270,98,0.8940153
19,M,1,10,11,3,37,1,7187,0,0.4238835
19,M,1,10,12,4,40,4,4932,2,0.8194573
19,M,1,10,13,1,38,2,8920,0,0.698199
19,M,1,10,14,2,37,1,1409,0,0.9023902
19,M,1,10,15,1,40,4,2087,0,0.809543
19,M,1,10,16,3,39,3,2865,0,0.2576142
19,M,1,11,1,3,41,1,2287,0,0.3408752
19,M,1,11,2,4,44,4,1654,0,0.4433619
19,M,1,11,3,2,43,3,2931,1,0.8924023
19,M,1,11,4,2,44,4,1576,0,0.9438282
19,M,1,11,5,4,41,1,1576,0,0.5842989
19,M,1,11,6,2,42,2,1354,0,0.2024338
19,M,1,11,7,3,43,3,2732,0,0.3006897
19,M,1,11,8,1,44,4,4354,0,0.5931674
19,M,1,11,9,4,43,3,8087,1,0.8975896
19,M,1,11,10,1,41,1,2143,0,0.115599
19,M,1,11,11,1,42,2,1598,0,0.5245339
19,M,1,11,12,1,43,3,2743,0,0.2177277
19,M,1,11,13,2,41,1,1987,0,0.529057
19,M,1,11,14,4,42,2,2432,0,0.3487883
19,M,1,11,15,3,44,4,5698,1,0.7629853
19,M,1,11,16,3,42,2,2742,0,0.8070679
19,M,1,12,1,4,45,1,2354,0,0.5520059
19,M,1,12,2,1,47,3,2054,0,0.2633428
19,M,1,12,3,3,48,4,2487,0,0.5975651
19,M,1,12,4,2,45,1,1409,0,0.6004354
19,M,1,12,5,4,48,4,3354,0,0.4683934
19,M,1,12,6,3,47,3,2265,0,0.4174486
19,M,1,12,7,1,48,4,2254,0,0.6746703
19,M,1,12,8,4,46,2,16643,1,0.2097189
19,M,1,12,9,2,47,3,2121,0,0.486079
19,M,1,12,10,1,45,1,2343,0,0.6965105
19,M,1,12,11,1,46,2,3820,0,0.2216765
19,M,1,12,12,2,48,4,2698,1,0.375753
19,M,1,12,13,3,46,2,3343,0,0.7057558
19,M,1,12,14,3,45,1,3276,0,0.2252847
19,M,1,12,15,4,47,3,2898,0,0.777732
19,M,1,12,16,2,46,2,1387,0,0.5696294
19,M,1,13,1,2,52,4,2987,1,0.5339451
19,M,1,13,2,1,49,1,2431,0,0.6405104
19,M,1,13,3,4,51,3,1843,0,0.5464665
19,M,1,13,4,4,49,1,1598,0,0.1462672
19,M,1,13,5,1,52,4,1754,0,0.7379635
19,M,1,13,6,3,51,3,3698,0,0.4574377
19,M,1,13,7,3,52,4,2520,0,0.9742892
19,M,1,13,8,4,50,2,2098,1,0.2068291
19,M,1,13,9,4,52,4,3298,1,0.5341396
19,M,1,13,10,2,49,1,1909,0,0.2998791
19,M,1,13,11,1,51,3,2632,0,0.2958411
19,M,1,13,12,2,50,2,2298,0,0.7454973
19,M,1,13,13,3,49,1,3776,0,0.5078765
19,M,1,13,14,3,50,2,5032,0,0.4423715
19,M,1,13,15,2,51,3,6065,0,0.2721039
19,M,1,13,16,1,50,2,2242,0,0.4726613
19,M,1,14,1,3,53,1,2265,0,0.5086767
19,M,1,14,2,1,54,2,2498,0,0.3982114
19,M,1,14,3,4,56,4,1943,0,0.6466488
19,M,1,14,4,2,55,3,2721,0,0.6465313
19,M,1,14,5,4,54,2,5054,3,0.2585518
19,M,1,14,6,2,53,1,1543,0,0.2971586
19,M,1,14,7,3,54,2,5598,0,0.656787
19,M,1,14,8,4,55,3,3142,0,0.3199268
19,M,1,14,9,2,56,4,2187,0,0.5961821
19,M,1,14,10,4,53,1,2898,0,0.595212
19,M,1,14,11,2,54,2,2010,0,0.3674187
19,M,1,14,12,1,55,3,2510,0,0.8806387
19,M,1,14,13,3,56,4,8109,0,0.4875083
19,M,1,14,14,3,55,3,1909,0,0.5844245
19,M,1,14,15,1,56,4,3309,0,0.3001672
19,M,1,14,16,1,53,1,1987,0,0.2526916
19,M,1,15,1,2,58,2,2709,0,0.8503938
19,M,1,15,2,4,57,1,2054,0,0.2718473
19,M,1,15,3,1,60,4,2954,0,0.7169628
19,M,1,15,4,3,59,3,2865,0,0.4390304
19,M,1,15,5,1,58,2,3354,0,0.4287462
19,M,1,15,6,2,60,4,1998,0,0.5822775
19,M,1,15,7,4,59,3,2221,0,0.7940969
19,M,1,15,8,4,60,4,2542,0,0.5991339
