Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
17,M,1,1,1,1,1,1,5020,0,0.3816895
17,M,1,1,2,4,2,2,2210,0,0.8603767
17,M,1,1,3,1,4,4,3243,0,0.558071
17,M,1,1,4,3,2,2,7398,0,0.4953661
17,M,1,1,5,3,4,4,2576,0,0.3269367
17,M,1,1,6,4,3,3,4854,1,0.9066125
17,M,1,1,7,1,2,2,2020,0,0.382664
17,M,1,1,8,2,1,1,1909,0,0.7841626
17,M,1,1,9,2,3,3,2298,0,0.6481355
17,M,1,1,10,2,2,2,16920,1,0.3856377
17,M,1,1,11,4,4,4,5254,1,0.550487
17,M,1,1,12,3,3,3,1887,0,0.3351301
17,M,1,1,13,3,1,1,1621,0,0.5976434
17,M,1,1,14,1,3,3,2609,1,0.5130844
17,M,1,1,15,2,4,4,2198,0,0.5257572
17,M,1,1,16,4,1,1,3743,0,0.8132008
17,M,1,2,1,4,6,2,1832,0,0.9142366
17,M,1,2,2,4,7,3,1921,0,0.8261536
17,M,1,2,3,2,8,4,2176,0,0.6299883
17,M,1,2,4,3,6,2,2620,0,0.5752625
17,M,1,2,5,1,7,3,1710,0,0.3844022
17,M,1,2,6,2,5,1,1821,0,0.7217832
17,M,1,2,7,1,6,2,1843,0,0.4908283
17,M,1,2,8,3,8,4,2743,0,0.8873291
17,M,1,2,9,2,7,3,1910,1,0.7455871
17,M,1,2,10,4,8,4,2898,1,0.6145464
17,M,1,2,11,3,5,1,1465,0,0.7254959
17,M,1,2,12,2,6,2,4665,1,0.3451498
17,M,1,2,13,1,5,1,1454,0,0.9467087
17,M,1,2,14,1,8,4,3165,1,0.9353803
17,M,1,2,15,3,7,3,2976,0,0.3040763
17,M,1,2,16,4,5,1,1554,0,0.5876519
17,M,1,3,1,4,12,4,2965,0,0.9052157
17,M,1,3,2,1,9,1,1887,1,0.7758932
17,M,1,3,3,2,10,2,5054,0,0.1679828
17,M,1,3,4,3,11,3,2532,0,0.07046282
17,M,1,3,5,3,9,1,1998,0,0.3230742
17,M,1,3,6,4,10,2,1421,0,0.4661922
17,M,1,3,7,2,11,3,1454,0,0.9709536
17,M,1,3,8,2,12,4,2143,1,0.1051117
17,M,1,3,9,4,11,3,1954,0,0.4096952
17,M,1,3,10,4,9,1,1865,0,0.5619959
17,M,1,3,11,3,10,2,5221,0,0.851288
17,M,1,3,12,3,12,4,3709,0,0.3472743
17,M,1,3,13,2,9,1,2098,2,0.5888996
