Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
20,M,1,1,1,3,4,4,3610,0,0.6444337
20,M,1,1,2,4,3,3,2532,0,0.6738579
20,M,1,1,3,4,2,2,1743,0,0.7325487
20,M,1,1,4,4,1,1,2743,0,0.6130683
20,M,1,1,5,2,3,3,1398,0,0.528469
20,M,1,1,6,1,2,2,1843,0,0.3877573
20,M,1,1,7,1,4,4,3598,0,0.5997647
20,M,1,1,8,1,1,1,1432,0,0.6341561
20,M,1,1,9,2,4,4,1754,0,0.8656143
20,M,1,1,10,3,1,1,1532,0,0.4881099
20,M,1,1,11,4,4,4,8542,2,0.483593
20,M,1,1,12,2,1,1,1276,0,0.6488656
20,M,1,1,13,3,3,3,2043,0,0.1310951
20,M,1,1,14,3,2,2,2843,0,0.2976248
20,M,1,1,15,1,3,3,3309,0,0.1824282
20,M,1,1,16,2,2,2,9354,0,0.03999717
20,M,1,2,1,3,5,1,1732,0,0.6003237
20,M,1,2,2,1,8,4,4054,0,0.7779356
20,M,1,2,3,1,5,1,1498,0,0.3220283
20,M,1,2,4,4,6,2,2788,0,0.1924379
20,M,1,2,5,4,5,1,1176,0,0.208633
20,M,1,2,6,4,7,3,2287,0,0.7001359
20,M,1,2,7,2,6,2,1554,0,0.3347398
20,M,1,2,8,3,7,3,1276,0,0.1318771
20,M,1,2,9,3,6,2,2043,0,0.6264351
20,M,1,2,10,3,8,4,2298,0,0.4561001
20,M,1,2,11,1,6,2,1776,0,0.3251632
20,M,1,2,12,2,8,4,1343,0,0.8202144
20,M,1,2,13,2,5,1,1365,0,0.07220271
20,M,1,2,14,1,7,3,7998,0,0.4283019
20,M,1,2,15,4,8,4,1843,0,0.2707606
20,M,1,2,16,2,7,3,2476,0,0.3470933
20,M,1,3,1,1,9,1,1910,0,0.5137945
20,M,1,3,2,2,12,4,2509,0,0.6905186
20,M,1,3,3,4,9,1,1087,0,0.2868882
20,M,1,3,4,4,11,3,1332,0,0.4406643
20,M,1,3,5,3,9,1,2476,0,0.4422621
20,M,1,3,6,2,11,3,2298,0,0.1888391
20,M,1,3,7,2,9,1,1010,0,0.5032347
20,M,1,3,8,2,10,2,1365,0,0.2107618
20,M,1,3,9,3,12,4,4154,0,0.7118363
20,M,1,3,10,3,10,2,3665,0,0.7191142
20,M,1,3,11,4,12,4,2298,0,0.488919
20,M,1,3,12,4,10,2,1309,0,0.1111281
20,M,1,3,13,1,11,3,1865,0,0.2382016
20,M,1,3,14,1,10,2,1453,0,0.7188411
20,M,1,3,15,1,12,4,3065,0,0.6816993
20,M,1,3,16,3,11,3,2398,0,0.3497683
20,M,1,4,1,3,14,2,1965,0,0.7462595
20,M,1,4,2,4,16,4,2243,0,0.6676199
20,M,1,4,3,2,15,3,1865,0,0.4127223
20,M,1,4,4,3,13,1,1754,0,0.1957551
20,M,1,4,5,2,16,4,1621,0,0.418277
20,M,1,4,6,3,15,3,2476,0,0.3977854
20,M,1,4,7,1,14,2,9998,0,0.7341837
20,M,1,4,8,1,15,3,2809,0,0.0171852
20,M,1,4,9,1,13,1,5876,0,0.7817419
20,M,1,4,10,4,14,2,5387,0,0.3376939
20,M,1,4,11,1,16,4,5209,0,0.6979944
20,M,1,4,12,2,13,1,1265,0,0.4658084
20,M,1,4,13,3,16,4,4087,0,0.5990649
20,M,1,4,14,4,15,3,2309,0,0.8449981
20,M,1,4,15,2,14,2,1432,0,0.2568125
20,M,1,4,16,4,13,1,1654,0,0.1719307
20,M,1,5,1,3,18,2,5332,0,0.755724
20,M,1,5,2,3,17,1,3364,0,0.5456169
20,M,1,5,3,1,20,4,3377,0,0.7372846
20,M,1,5,4,2,17,1,1809,0,0.07805014
20,M,1,5,5,3,19,3,2254,0,0.1971946
20,M,1,5,6,4,17,1,1632,0,0.5422011
20,M,1,5,7,2,20,4,1298,0,0.5987238
20,M,1,5,8,1,18,2,1687,0,0.8484804
20,M,1,5,9,1,17,1,1509,0,0.6964689
20,M,1,5,10,1,19,3,2354,0,0.3653448
20,M,1,5,11,2,18,2,1343,0,0.6787245
20,M,1,5,12,3,20,4,2454,0,0.704551
20,M,1,5,13,4,19,3,1832,0,0.2114709
20,M,1,5,14,4,20,4,3498,1,0.3135242
20,M,1,5,15,2,19,3,1898,0,0.1427372
20,M,1,5,16,4,18,2,1198,0,0.2012592
20,M,1,6,1,1,23,3,1709,0,0.535993
20,M,1,6,2,3,24,4,2809,0,0.958675
20,M,1,6,3,3,22,2,2631,1,0.5569044
20,M,1,6,4,4,21,1,1854,0,0.7763181
20,M,1,6,5,4,23,3,1854,0,0.1848315
20,M,1,6,6,1,22,2,1554,0,0.7069128
20,M,1,6,7,1,21,1,1265,0,0.7020172
20,M,1,6,8,4,24,4,1932,1,0.8087465
20,M,1,6,9,3,21,1,1643,0,0.8926039
20,M,1,6,10,3,23,3,2887,1,0.6543182
20,M,1,6,11,2,22,2,1209,0,0.1533588
20,M,1,6,12,2,21,1,1298,0,0.4247774
20,M,1,6,13,2,24,4,1032,0,0.09456655
20,M,1,6,14,4,22,2,1809,1,0.1615703
20,M,1,6,15,1,24,4,4365,1,0.5300713
20,M,1,6,16,2,23,3,1332,0,0.8154431
20,M,1,7,1,3,28,4,2532,0,0.3551077
20,M,1,7,2,2,25,1,1065,0,0.1117694
20,M,1,7,3,3,27,3,3076,0,0.5625665
20,M,1,7,4,4,26,2,8209,0,0.8658878
20,M,1,7,5,1,25,1,3765,0,0.5461591
20,M,1,7,6,1,28,4,15698,0,0.1938003
20,M,1,7,7,3,26,2,3954,0,0.6123212
20,M,1,7,8,4,25,1,1954,1,0.3220332
20,M,1,7,9,4,27,3,1687,0,0.6933436
20,M,1,7,10,4,28,4,1921,1,0.1485282
20,M,1,7,11,2,27,3,1387,0,0.1197098
20,M,1,7,12,2,26,2,1932,1,0.1547198
20,M,1,7,13,2,28,4,2165,0,0.2298984
20,M,1,7,14,1,26,2,6976,0,0.1236763
20,M,1,7,15,1,27,3,8065,1,0.3508867
20,M,1,7,16,3,25,1,3932,0,0.3236305
20,M,1,8,1,3,32,4,2854,0,0.5341522
20,M,1,8,2,1,29,1,1354,0,0.8369602
20,M,1,8,3,3,31,3,1365,0,0.6824681
20,M,1,8,4,3,30,2,3009,0,0.4872964
20,M,1,8,5,1,32,4,2687,0,0.2233794
20,M,1,8,6,4,30,2,1310,0,0.3538797
20,M,1,8,7,2,32,4,1221,0,0.5584659
20,M,1,8,8,2,31,3,1942,0,0.376347
20,M,1,8,9,2,29,1,3154,0,0.5944523
20,M,1,8,10,1,31,3,2687,0,0.5950466
20,M,1,8,11,3,29,1,1865,0,0.6925956
20,M,1,8,12,1,30,2,5543,0,0.4458232
20,M,1,8,13,4,31,3,2343,0,0.2386323
20,M,1,8,14,2,30,2,3376,0,0.1525674
20,M,1,8,15,4,32,4,2320,0,0.3426616
20,M,1,8,16,4,29,1,1243,0,0.4095332
20,M,1,9,1,3,35,3,5520,0,0.8519603
20,M,1,9,2,2,33,1,1965,0,0.8755677
20,M,1,9,3,1,36,4,3865,0,0.3120436
20,M,1,9,4,2,34,2,1309,0,0.4616525
20,M,1,9,5,2,35,3,1910,0,0.6403026
20,M,1,9,6,4,36,4,2387,0,0.1234986
20,M,1,9,7,4,34,2,1287,0,0.6117188
20,M,1,9,8,1,33,1,1320,0,0.5334184
20,M,1,9,9,2,36,4,2687,0,0.1560686
20,M,1,9,10,1,35,3,2732,0,0.4461148
20,M,1,9,11,1,34,2,1587,0,0.6538348
20,M,1,9,12,3,33,1,1465,0,0.8562512
20,M,1,9,13,3,36,4,3165,0,0.6861101
20,M,1,9,14,4,35,3,2787,0,0.2617955
20,M,1,9,15,3,34,2,1631,0,0.8090782
20,M,1,9,16,4,33,1,1109,0,1.003131
20,M,1,10,1,2,38,2,1387,0,0.6638701
20,M,1,10,2,4,39,3,2020,0,0.4021091
20,M,1,10,3,3,40,4,3098,0,0.6174185
20,M,1,10,4,4,37,1,1132,0,0.9244962
20,M,1,10,5,2,39,3,1531,0,0.3251115
20,M,1,10,6,3,38,2,1987,0,0.9150438
20,M,1,10,7,1,39,3,1854,0,0.5239713
20,M,1,10,8,2,40,4,2276,0,0.4508323
20,M,1,10,9,1,38,2,1398,0,0.7449192
20,M,1,10,10,3,37,1,1665,0,0.7880536
20,M,1,10,11,4,40,4,1954,0,0.1883398
20,M,1,10,12,2,37,1,1065,0,0.3638909
20,M,1,10,13,4,38,2,2321,2,0.1609827
20,M,1,10,14,1,37,1,2020,0,0.4863084
20,M,1,10,15,3,39,3,7309,0,0.7250568
20,M,1,10,16,1,40,4,3232,0,0.7420363
20,M,1,11,1,4,42,2,4587,0,0.649096
20,M,1,11,2,3,41,1,1954,0,1.006318
20,M,1,11,3,1,43,3,2032,0,0.9431768
20,M,1,11,4,1,41,1,1154,0,0.9472633
20,M,1,11,5,3,43,3,2398,0,0.6845036
20,M,1,11,6,3,44,4,3754,1,0.4511864
20,M,1,11,7,4,43,3,2221,0,0.7080414
20,M,1,11,8,1,44,4,2921,0,0.6008187
20,M,1,11,9,1,42,2,1354,0,0.4293134
20,M,1,11,10,2,44,4,2565,0,0.4158791
20,M,1,11,11,2,43,3,2565,1,0.6194864
20,M,1,11,12,4,41,1,1632,1,0.9109309
20,M,1,11,13,3,42,2,1998,0,0.5516202
20,M,1,11,14,4,44,4,1798,0,0.4794473
20,M,1,11,15,2,41,1,2231,2,0.1084081
20,M,1,11,16,2,42,2,1165,0,0.4674293
20,M,1,12,1,4,48,4,1943,0,0.2177038
20,M,1,12,2,1,45,1,1321,0,0.8011674
20,M,1,12,3,1,48,4,2287,0,0.4580846
20,M,1,12,4,3,47,3,3187,1,0.08424719
20,M,1,12,5,3,46,2,1509,0,0.06323382
20,M,1,12,6,2,48,4,2332,0,0.6987706
20,M,1,12,7,4,45,1,1032,0,0.7865707
20,M,1,12,8,1,47,3,1731,0,0.7889627
20,M,1,12,9,2,46,2,1243,0,0.2188546
20,M,1,12,10,3,48,4,3398,0,0.8163822
20,M,1,12,11,2,47,3,2065,0,0.454662
20,M,1,12,12,4,46,2,1109,0,0.4892772
20,M,1,12,13,2,45,1,1709,1,1.004252
20,M,1,12,14,1,46,2,1632,0,0.3599962
20,M,1,12,15,4,47,3,4132,0,0.4017138
20,M,1,12,16,3,45,1,1810,0,0.5020201
20,M,1,13,1,2,52,4,2176,0,0.6043217
20,M,1,13,2,1,50,2,1221,0,0.4578938
20,M,1,13,3,1,49,1,2743,2,0.3564187
20,M,1,13,4,1,52,4,2587,0,0.5072014
20,M,1,13,5,4,51,3,1421,0,0.7973166
20,M,1,13,6,4,52,4,1543,0,0.4809947
20,M,1,13,7,1,51,3,1876,0,0.774603
20,M,1,13,8,2,49,1,1198,0,0.3277687
20,M,1,13,9,3,51,3,1732,0,0.2030039
20,M,1,13,10,2,50,2,1376,0,0.5418158
20,M,1,13,11,3,52,4,2620,0,0.5258646
20,M,1,13,12,3,50,2,1798,0,0.6298053
20,M,1,13,13,3,49,1,3432,0,0.5674425
20,M,1,13,14,2,51,3,1254,0,0.5388021
20,M,1,13,15,4,50,2,1487,0,0.369289
20,M,1,13,16,4,49,1,2276,0,0.6385307
20,M,1,14,1,4,55,3,3009,1,0.2366812
20,M,1,14,2,3,56,4,2253,0,0.68736
20,M,1,14,3,1,54,2,1387,0,0.3265426
20,M,1,14,4,4,53,1,2232,1,0.4714977
20,M,1,14,5,2,56,4,1332,0,0.2361312
20,M,1,14,6,3,55,3,1910,0,0.5460287
20,M,1,14,7,3,53,1,3398,0,0.492371
20,M,1,14,8,4,54,2,1321,0,0.1760904
20,M,1,14,9,4,56,4,1287,0,0.4477848
20,M,1,14,10,3,54,2,1920,0,0.534247
20,M,1,14,11,1,55,3,1498,0,0.3625206
20,M,1,14,12,1,53,1,1387,0,0.7227335
20,M,1,14,13,2,55,3,1143,0,0.3840418
20,M,1,14,14,2,54,2,1121,0,0.06017266
20,M,1,14,15,2,53,1,1987,0,0.3888302
20,M,1,14,16,1,56,4,2176,0,0.5377029
20,M,1,15,1,3,58,2,3887,0,0.2100611
20,M,1,15,2,1,57,1,1232,0,0.5045381
20,M,1,15,3,2,58,2,1031,0,0.5355617
20,M,1,15,4,1,59,3,1943,0,0.4240203
20,M,1,15,5,4,60,4,1421,0,0.4550089
20,M,1,15,6,4,58,2,1976,1,0.2842942
20,M,1,15,7,4,59,3,1665,0,0.4053631
20,M,1,15,8,1,58,2,1454,0,0.2393699
20,M,1,15,9,2,60,4,1020,0,0.4414723
20,M,1,15,10,2,59,3,1765,0,0.7099833
20,M,1,15,11,3,57,1,8920,0,0.6736811
20,M,1,15,12,3,59,3,1987,0,0.4209822
20,M,1,15,13,3,60,4,2887,0,0.5922288
20,M,1,15,14,2,57,1,2287,1,0.3659744
20,M,1,15,15,1,60,4,3654,0,0.3712819
20,M,1,15,16,4,57,1,1587,0,0.8199328
20,M,1,16,1,1,62,2,2564,0,0.2787342
20,M,1,16,2,4,64,4,1787,0,0.8224015
20,M,1,16,3,2,63,3,1565,0,0.6164838
20,M,1,16,4,4,62,2,1243,0,0.299828
20,M,1,16,5,4,61,1,2854,0,0.5899318
20,M,1,16,6,3,62,2,3232,0,0.8268013
