0,2,30,-13.75,-8.25,31.10004,RGBA(0.000, 1.000, 0.000, 1.000),(0.5, 0.3, 0.1, 0.8)
0,2,37,4.635,-1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.0, 0.2, 1.0, 0.1)
0,2,41,8.25,-8.25,32.90003,RGBA(1.000, 0.000, 0.000, 1.000),(0.7, 0.5, 0.3, 0.3)
0,2,45,4.635,-7.725,17.79999,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.4, 0.8, 0.2)
0,2,46,13.75,-13.75,29.10003,RGBA(0.000, 1.000, 0.000, 1.000),(0.8, 0.4, 0.0, 0.3)
0,3,0,-2.75,2.75,34.7,RGBA(0.000, 1.000, 0.000, 1.000),(0.2, 0.0, 0.5, 0.8)
0,3,4,-2.75,8.25,33.90002,RGBA(0.000, 0.000, 1.000, 1.000),(0.3, 0.8, 0.4, 0.2)
0,3,5,-4.635,4.635,18.8,RGBA(0.000, 0.000, 1.000, 1.000),(0.1, 0.6, 0.8, 0.0)
0,3,6,-7.725,4.635,17.79999,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.8, 0.3, 0.5)
0,3,13,4.635,1.545,19.3,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.5, 0.6, 0.6)
0,3,14,13.75,2.75,32.00005,RGBA(0.000, 1.000, 0.000, 1.000),(0.6, 0.7, 0.2, 0.4)
0,3,16,1.545,4.635,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.2, 0.7, 0.3, 0.6)
0,3,17,8.25,8.25,32.90003,RGBA(0.000, 0.000, 1.000, 1.000),(0.6, 0.6, 0.4, 0.5)
0,3,25,-4.635,-1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.0, 0.7, 0.1)
0,3,28,-2.75,-8.25,33.90002,RGBA(1.000, 0.000, 0.000, 1.000),(0.3, 0.6, 0.1, 0.7)
0,3,31,-10.815,-4.635,16.09999,RGBA(1.000, 0.922, 0.016, 1.000),(0.4, 0.6, 0.7, 0.1)
0,3,35,-19.25,-13.75,25.70002,RGBA(0.000, 0.000, 1.000, 1.000),(0.0, 0.4, 0.3, 0.9)
0,3,36,1.545,-1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.6, 0.6, 0.4, 0.2)
0,3,38,13.75,-2.75,32.00005,RGBA(0.000, 1.000, 0.000, 1.000),(0.4, 0.6, 0.0, 0.7)
0,3,44,1.545,-7.725,18.29999,RGBA(1.000, 0.922, 0.016, 1.000),(0.2, 0.7, 0.6, 0.4)
0,3,47,19.25,-13.75,25.70002,RGBA(0.000, 0.000, 1.000, 1.000),(0.3, 0.7, 0.1, 0.7)
0,4,2,-7.725,1.545,18.29999,RGBA(0.000, 1.000, 0.000, 1.000),(0.4, 0.2, 0.4, 0.8)
0,4,4,-2.75,8.25,33.90002,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.7, 0.2, 0.3)
0,4,8,-1.545,7.725,18.29999,RGBA(0.000, 0.000, 1.000, 1.000),(0.9, 0.2, 0.4, 0.1)
0,4,11,-19.25,13.75,25.70002,RGBA(1.000, 0.000, 0.000, 1.000),(0.1, 0.7, 0.7, 0.2)
0,4,15,19.25,2.75,29.10003,RGBA(0.000, 0.000, 1.000, 1.000),(0.2, 0.4, 0.7, 0.5)
0,4,16,2.75,8.25,33.90002,RGBA(1.000, 0.922, 0.016, 1.000),(0.6, 0.0, 0.7, 0.2)
0,4,18,7.725,4.635,17.79999,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.3, 0.6, 0.6)
