2,43,10.815,-4.635,16.09999,RGBA(0.000, 1.000, 0.000, 1.000),(0.1, 0.3, 0.5, 0.8)
2,45,8.25,-13.75,31.10004,RGBA(1.000, 0.000, 0.000, 1.000),(0.0, 0.8, 0.3, 0.5)
2,46,7.725,-7.725,16.69999,RGBA(0.000, 1.000, 0.000, 1.000),(0.4, 0.3, 0.0, 0.9)
2,47,19.25,-13.75,25.70002,RGBA(1.000, 0.000, 0.000, 1.000),(0.9, 0.3, 0.4, 0.2)

3,1,-4.635,1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.3, 0.7, 0.4)
3,3,-19.25,2.75,29.10003,RGBA(1.000, 0.922, 0.016, 1.000),(0.3, 0.5, 0.6, 0.6)
3,4,-1.545,4.635,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.1, 0.1, 0.9, 0.4)
3,11,-19.25,13.75,25.70002,RGBA(0.000, 0.000, 1.000, 1.000),(0.2, 0.5, 0.3, 0.8)
3,16,2.75,8.25,33.90002,RGBA(0.000, 0.000, 1.000, 1.000),(0.3, 0.7, 0.4, 0.6)
3,18,7.725,4.635,17.79999,RGBA(1.000, 0.922, 0.016, 1.000),(0.5, 0.5, 0.5, 0.5)
3,19,10.815,4.635,16.09999,RGBA(0.000, 0.000, 1.000, 1.000),(0.2, 0.7, 0.2, 0.6)
3,20,2.75,13.75,32.00005,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.7, 0.1, 0.7)
3,27,-10.815,-1.545,16.69999,RGBA(0.000, 0.000, 1.000, 1.000),(0.9, 0.4, 0.2, 0.3)
3,28,-2.75,-8.25,33.90002,RGBA(1.000, 0.000, 0.000, 1.000),(0.7, 0.6, 0.3, 0.3)
3,29,-4.635,-4.635,18.8,RGBA(0.000, 0.000, 1.000, 1.000),(0.9, 0.1, 0.5, 0.0)
3,30,-13.75,-8.25,31.10004,RGBA(1.000, 0.922, 0.016, 1.000),(0.0, 0.7, 0.1, 0.7)
3,37,4.635,-1.545,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.1, 0.6, 0.7, 0.4)
3,42,13.75,-8.25,31.10004,RGBA(0.000, 0.000, 1.000, 1.000),(0.4, 0.2, 0.8, 0.3)
3,44,1.545,-7.725,18.29999,RGBA(0.000, 1.000, 0.000, 1.000),(0.8, 0.6, 0.1, 0.1)
3,46,13.75,-13.75,29.10003,RGBA(1.000, 0.000, 0.000, 1.000),(0.5, 0.8, 0.2, 0.1)

0,1,-4.635,1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(1.0, 0.0, 0.0, 0.1)
0,3,-19.25,2.75,29.10003,RGBA(1.000, 0.922, 0.016, 1.000),(0.7, 0.2, 0.5, 0.5)
