Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
21,F,1,1,1,1,2,3,3,3410,0,0.5863053,12.431,2.676276,-1
21,F,1,1,1,2,2,4,4,2710,0,0.6742241,12.48573,3.026792,-1
21,F,1,1,1,3,2,1,1,1721,0,0.6983747,12.39526,3.14784,-1
21,F,1,1,1,4,6,2,2,9999,3,-1,-1,-1,-1
21,F,1,1,1,5,5,4,4,3188,0,0.418164,6.504539,3.477727,-1
21,F,1,1,1,6,5,2,2,1554,0,0.3592246,6.463011,3.02608,-1
21,F,1,1,1,7,6,4,4,5676,0,0.6619667,12.50556,2.938116,-1
21,F,1,1,1,8,1,1,1,6765,2,1.659653E-07,6.375717,0,-1
21,F,1,1,1,9,1,2,2,1954,0,0.5394529,6.485576,4.582318,-1
21,F,1,1,1,10,1,3,3,1510,0,0.3024668,6.510201,2.569941,-1
21,F,1,1,1,11,2,2,2,1876,0,1.056373,12.4711,4.710479,-1
21,F,1,1,1,12,5,1,1,9999,7,-1,-1,-1,-1
21,F,1,1,1,13,5,3,3,1655,0,0.02692412,6.511394,0.2272819,-1
21,F,1,1,1,14,1,4,4,2732,0,0.263954,6.522421,2.184984,-1
21,F,1,1,1,15,6,1,1,5798,0,0.7251875,12.43183,3.297822,-1
21,F,1,1,1,16,6,3,3,2188,0,0.4115553,12.45646,1.844936,-1
21,F,1,1,2,1,6,6,2,1776,0,0.1756381,12.48524,0.7863387,-1
21,F,1,1,2,2,6,7,3,3232,0,0.2858364,12.47684,1.281306,-1
21,F,1,1,2,3,1,6,2,2865,1,0.5453556,6.495315,4.724722,-1
21,F,1,1,2,4,5,5,1,7176,5,0.3010242,6.350611,2.560708,-1
21,F,1,1,2,5,6,8,4,9999,5,-1,-1,-1,-1
21,F,1,1,2,6,1,5,1,3199,1,0.2974853,6.275083,2.559179,-1
21,F,1,1,2,7,5,8,4,9999,5,-1,-1,-1,-1
21,F,1,1,2,8,6,5,1,3699,2,0.5231205,12.25425,2.385975,-1
21,F,1,1,2,9,2,6,2,8354,6,0.4383101,12.32791,1.977244,-1
21,F,1,1,2,10,5,7,3,2943,0,0.1313042,6.404588,1.115573,-1
21,F,1,1,2,11,1,8,4,2199,0,0.1385198,6.393873,1.177195,-1
21,F,1,1,2,12,5,6,2,2354,1,0.4329665,6.351706,3.735859,-1
21,F,1,1,2,13,1,7,3,1921,0,1.148693E-07,6.41423,0,-1
21,F,1,1,2,14,2,8,4,4376,2,1.021382,12.36865,4.586719,-1
21,F,1,1,2,15,2,5,1,1599,0,0.2548927,12.30921,1.161464,-1
21,F,1,1,2,16,2,7,3,4210,1,0.9323806,12.3203,4.316156,-1
21,F,1,1,3,1,5,10,2,2865,1,0.3345075,6.372914,2.905151,-1
21,F,1,1,3,2,2,12,4,2132,0,0.5878012,12.39956,2.639156,-1
21,F,1,1,3,3,6,11,3,2420,0,0.7545823,12.33807,3.431537,-1
21,F,1,1,3,4,5,12,4,4665,1,0.04784712,6.42977,0.4044518,-1
21,F,1,1,3,5,1,9,1,8276,4,0.3681634,6.291175,3.188193,-1
21,F,1,1,3,6,5,11,3,4154,0,0.3292283,6.415277,2.770645,-1
21,F,1,1,3,7,2,10,2,9698,7,1.008442,12.3352,4.535485,-1
21,F,1,1,3,8,5,9,1,4420,3,0.05484899,6.298195,0.4739525,-1
21,F,1,1,3,9,1,12,4,2754,0,0.4956895,6.402322,4.232395,-1
21,F,1,1,3,10,6,9,1,2399,0,0.7215819,12.3197,3.277874,-1
21,F,1,1,3,11,2,11,3,2809,0,4.747784E-08,12.3316,0,-1
21,F,1,1,3,12,6,10,2,5987,4,0.9441044,12.32777,4.311389,-1
21,F,1,1,3,13,2,9,1,9421,8,0.8234302,12.23348,3.793541,-1
21,F,1,1,3,14,6,12,4,2432,0,0.4370172,12.37873,1.963138,-1
21,F,1,1,3,15,1,11,3,3543,3,0.3045573,6.369897,2.588156,-1
21,F,1,1,3,16,1,10,2,2021,1,0.1987801,6.363123,1.71395,-1
21,F,1,1,4,1,2,16,4,9999,7,-1,-1,-1,-1
21,F,1,1,4,2,2,13,1,1543,0,0.4599211,12.28737,2.089378,-1
21,F,1,1,4,3,5,16,4,3265,0,0.5089904,6.40517,4.330381,-1
21,F,1,1,4,4,5,15,3,2854,0,0.2798188,6.417879,2.396861,-1
21,F,1,1,4,5,6,14,2,9999,8,-1,-1,-1,-1
21,F,1,1,4,6,6,13,1,1754,0,0.7256286,12.27458,3.362025,-1
21,F,1,1,4,7,1,15,3,1210,0,0.4878395,6.404411,4.1245,-1
