Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
20,F,1,1,1,1,6,1,1,4243,0,1.692498E-07,12.40471,0,-1
20,F,1,1,1,2,1,3,3,9999,5,-1,-1,-1,-1
20,F,1,1,1,3,6,4,4,4254,2,0.09180298,12.59687,0.4102162,-1
20,F,1,1,1,4,1,2,2,9999,15,-1,-1,-1,-1
20,F,1,1,1,5,6,3,3,5098,3,0.6743237,12.52289,3.061006,-1
20,F,1,1,1,6,1,4,4,3532,2,0.4628774,6.530104,3.819468,-1
20,F,1,1,1,7,2,3,3,9999,5,-1,-1,-1,-1
20,F,1,1,1,8,6,2,2,4165,0,0.4185265,12.19087,1.934113,-1
20,F,1,1,1,9,2,1,1,5020,0,0.1639149,12.29456,0.7522548,-1
20,F,1,1,1,10,2,4,4,1498,0,0.4657237,12.45702,2.089004,-1
20,F,1,1,1,11,5,3,3,3932,3,1.303381E-07,6.685069,0,-1
20,F,1,1,1,12,1,1,1,2698,1,0.2868802,6.359592,2.520803,-1
20,F,1,1,1,13,5,4,4,3010,2,0.4021428,6.438852,3.36639,-1
20,F,1,1,1,14,2,2,2,3598,0,0.7856843,12.2185,3.609505,-1
20,F,1,1,1,15,5,1,1,2310,0,0.463351,6.395553,3.954879,-1
20,F,1,1,1,16,5,2,2,2021,1,0.135886,6.195615,1.21273,-1
20,F,1,1,2,1,2,7,3,9999,8,-1,-1,-1,-1
20,F,1,1,2,2,6,6,2,6165,3,0.8981501,12.2155,4.135312,-1
20,F,1,1,2,3,6,7,3,1399,0,1.834407E-07,12.41075,0,-1
20,F,1,1,2,4,2,8,4,1365,0,0.1658749,12.46283,0.7467723,-1
20,F,1,1,2,5,5,6,2,2176,1,0.5057947,6.172866,4.410022,-1
20,F,1,1,2,6,2,5,1,9999,0,-1,-1,-1,-1
20,F,1,1,2,7,5,8,4,3266,0,0.008733931,6.426128,0.07401875,-1
20,F,1,1,2,8,1,5,1,2465,1,0.06601471,6.374562,0.5650989,-1
20,F,1,1,2,9,6,8,4,2543,2,0.7920381,12.43344,3.606032,-1
20,F,1,1,2,10,6,5,1,3698,4,0.8985648,12.26437,4.156475,-1
20,F,1,1,2,11,5,7,3,2298,0,0.09083343,6.642274,0.7499101,-1
20,F,1,1,2,12,2,6,2,3388,3,0.3548873,12.22021,1.645205,-1
20,F,1,1,2,13,5,5,1,6754,0,0.4526908,6.39268,3.865942,-1
20,F,1,1,2,14,1,6,2,1266,0,0.4275354,6.182754,3.746066,-1
20,F,1,1,2,15,1,8,4,6576,5,0.420396,6.422642,3.524923,-1
20,F,1,1,2,16,1,7,3,5098,3,0.4709842,6.635941,3.863307,-1
20,F,1,1,3,1,6,10,2,3243,0,1.000017,12.22754,4.565702,-1
20,F,1,1,3,2,1,11,3,4232,0,0.3231469,6.64872,2.687807,-1
20,F,1,1,3,3,5,10,2,1688,0,0.3946284,6.198062,3.450144,-1
20,F,1,1,3,4,6,11,3,5354,2,0.01101776,12.42543,0.04845664,-1
20,F,1,1,3,5,6,9,1,3743,0,0.7345033,12.29115,3.383619,-1
20,F,1,1,3,6,2,12,4,2998,1,0.6205524,12.4692,2.805888,-1
20,F,1,1,3,7,1,9,1,4665,0,0.08823564,6.375218,0.7548515,-1
20,F,1,1,3,8,6,12,4,5465,4,0.644356,12.48467,2.901915,-1
20,F,1,1,3,9,1,10,2,3487,2,0.178131,6.190129,1.562853,-1
20,F,1,1,3,10,5,12,4,7565,1,0.1258095,6.437089,1.063305,-1
20,F,1,1,3,11,5,11,3,4443,1,0.5555429,6.64756,4.684584,-1
20,F,1,1,3,12,1,12,4,2987,1,0.2109646,6.427208,1.776631,-1
20,F,1,1,3,13,2,11,3,5431,0,1.000507,12.41753,4.560765,-1
20,F,1,1,3,14,2,9,1,4987,0,0.8205591,12.30742,3.76967,-1
20,F,1,1,3,15,2,10,2,3754,4,0.9811662,12.2297,4.538119,-1
20,F,1,1,3,16,5,9,1,2243,0,0.1298268,6.378937,1.112939,-1
20,F,1,1,4,1,2,15,3,3832,1,0.229849,12.40764,1.045114,-1
20,F,1,1,4,2,6,14,2,3098,3,0.3157928,12.1885,1.465269,-1
