Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
21,F,1,1,1,1,6,1,1,2965,0,0.9956861,12.47381,4.557113,-1
21,F,1,1,1,2,2,3,3,3454,0,0.8844566,12.44397,3.985559,-1
21,F,1,1,1,3,5,4,4,9999,3,-1,-1,-1,-1
21,F,1,1,1,4,1,1,1,5165,0,0.5488337,6.422301,4.598874,-1
21,F,1,1,1,5,6,2,2,9999,3,-1,-1,-1,-1
21,F,1,1,1,6,2,4,4,9999,3,-1,-1,-1,-1
21,F,1,1,1,7,5,3,3,5199,0,0.503035,6.413951,4.401976,-1
21,F,1,1,1,8,2,2,2,9999,1,-1,-1,-1,-1
21,F,1,1,1,9,1,4,4,9999,7,-1,-1,-1,-1
21,F,1,1,1,10,1,3,3,9910,2,0.2500286,6.407987,2.158942,-1
21,F,1,1,1,11,5,1,1,4776,1,8.568716E-08,6.434239,0,-1
21,F,1,1,1,12,1,2,2,1765,0,0.4599231,6.471008,3.903847,-1
21,F,1,1,1,13,6,4,4,3676,1,0.9257158,12.4022,4.155014,-1
21,F,1,1,1,14,2,1,1,4377,0,0.5547903,12.51859,2.488056,-1
21,F,1,1,1,15,6,3,3,6354,3,0.3367496,12.41047,1.505322,-1
21,F,1,1,1,16,5,2,2,2399,0,0.07539359,6.472463,0.6361217,-1
21,F,1,1,2,1,5,8,4,4699,1,0.2971531,6.433599,2.521579,-1
21,F,1,1,2,2,1,5,1,1822,0,0.4556865,6.433599,3.872015,-1
21,F,1,1,2,3,2,7,3,4076,0,0.05484344,12.44129,0.2462884,-1
21,F,1,1,2,4,1,8,4,4921,1,0.2383174,6.432916,2.025067,-1
21,F,1,1,2,5,2,5,1,4998,1,0.6106784,12.5074,2.77756,-1
21,F,1,1,2,6,6,6,2,1299,0,0.5826644,12.40732,2.637153,-1
21,F,1,1,2,7,2,8,4,3032,1,0.1266222,12.40191,0.5712977,-1
21,F,1,1,2,8,5,7,3,3966,1,0.411088,6.41864,3.467353,-1
21,F,1,1,2,9,1,6,2,2110,0,0.01603417,6.475062,0.1356209,-1
21,F,1,1,2,10,5,5,1,3366,2,0.04550562,6.416688,0.3856296,-1
21,F,1,1,2,11,6,8,4,6110,3,0.4000762,12.45568,1.821019,-1
21,F,1,1,2,12,6,5,1,4721,0,0.6597794,12.46792,3.009473,-1
21,F,1,1,2,13,6,7,3,3843,1,0.4565211,12.40443,2.070843,-1
21,F,1,1,2,14,2,6,2,1532,0,1.028106,12.40678,4.719661,-1
21,F,1,1,2,15,1,7,3,2898,0,0.4923486,6.428885,4.12032,-1
21,F,1,1,2,16,5,6,2,5176,2,0.1814692,6.457727,1.527391,-1
21,F,1,1,3,1,2,11,3,4088,0,0.705983,12.44012,3.169224,-1
21,F,1,1,3,2,5,9,1,1632,0,0.1254207,6.438659,1.065694,-1
21,F,1,1,3,3,1,11,3,3232,0,0.2413238,6.424725,2.033266,-1
21,F,1,1,3,4,5,10,2,1476,0,0.240974,6.461063,2.024971,-1
21,F,1,1,3,5,5,11,3,2832,0,0.19379,6.424289,1.639605,-1
21,F,1,1,3,6,6,10,2,4899,0,0.7797885,12.40496,3.518529,-1
21,F,1,1,3,7,2,12,4,3688,1,0.4028755,12.40582,1.810781,-1
21,F,1,1,3,8,2,10,2,1699,0,0.5140488,12.40967,2.35077,-1
21,F,1,1,3,9,5,12,4,5465,1,0.1720135,6.437994,1.468071,-1
21,F,1,1,3,10,6,11,3,3165,0,0.9065353,12.40717,4.044527,-1
21,F,1,1,3,11,6,9,1,9999,4,-1,-1,-1,-1
21,F,1,1,3,12,1,12,4,4788,2,2.005542E-07,6.440795,0,-1
21,F,1,1,3,13,1,9,1,1499,0,0.1089305,6.433762,0.9234449,-1
21,F,1,1,3,14,1,10,2,1843,0,0.2761536,6.473999,2.32094,-1
21,F,1,1,3,15,6,12,4,3599,1,0.01025483,12.41009,0.04845664,-1
21,F,1,1,3,16,2,9,1,3965,1,0.8120093,12.50364,3.695546,-1
21,F,1,1,4,1,5,16,4,3854,0,0.433267,6.434628,3.716732,-1
21,F,1,1,4,2,1,15,3,3632,0,0.0946098,6.422349,0.8030819,-1
21,F,1,1,4,3,2,14,2,3843,0,0.2385318,12.40821,1.079197,-1
21,F,1,1,4,4,1,13,1,2165,0,0.1192367,6.419247,1.019908,-1
21,F,1,1,4,5,5,15,3,3999,1,0.4593955,6.420335,4.024431,-1
21,F,1,1,4,6,1,16,4,6466,3,0.1614178,6.43864,1.36659,-1
21,F,1,1,4,7,2,15,3,3376,1,0.6940393,12.44164,3.144418,-1
21,F,1,1,4,8,6,13,1,2254,0,0.02192723,12.47708,0.09691329,-1
21,F,1,1,4,9,5,14,2,4754,2,2.157582E-07,6.461915,0,-1
21,F,1,1,4,10,6,15,3,4421,0,0.9266848,12.44499,4.2098,-1
21,F,1,1,4,11,2,13,1,6554,0,0.1320378,12.52124,0.5931431,-1
21,F,1,1,4,12,1,14,2,1832,0,5.769973E-08,6.474957,0,-1
21,F,1,1,4,13,6,16,4,4554,1,0.8446242,12.41172,3.828889,-1
21,F,1,1,4,14,6,14,2,1675,0,0.516231,12.41678,2.351602,-1
21,F,1,1,4,15,2,16,4,2321,0,0.2157975,12.40233,0.9723696,-1
21,F,1,1,4,16,5,13,1,8110,5,0.1774881,6.419652,1.514007,-1
21,F,1,1,5,1,6,18,2,2510,0,0.55973,12.45174,2.518705,-1
21,F,1,1,5,2,1,17,1,6721,3,0.5177004,6.424348,4.408378,-1
21,F,1,1,5,3,2,20,4,2643,0,0.2891472,12.40813,1.312241,-1
21,F,1,1,5,4,6,19,3,5010,2,0.4927272,12.41008,2.243412,-1
21,F,1,1,5,5,5,17,1,5598,3,0.1591315,6.409466,1.363723,-1
21,F,1,1,5,6,6,20,4,2699,0,0.3372218,12.41138,1.535696,-1
21,F,1,1,5,7,5,19,3,2876,0,0.07415482,6.424799,0.6293179,-1
21,F,1,1,5,8,2,17,1,3021,0,0.2685686,12.52394,1.206096,-1
21,F,1,1,5,9,1,19,3,3443,0,0.1158581,6.425289,0.98238,-1
21,F,1,1,5,10,5,20,4,8487,4,0.209276,6.453364,1.786736,-1
21,F,1,1,5,11,6,17,1,2454,0,0.5682287,12.48104,2.564756,-1
21,F,1,1,5,12,5,18,2,1877,0,9.072937E-08,6.462477,0,-1
21,F,1,1,5,13,1,20,4,6798,2,0.1902605,6.439065,1.615194,-1
21,F,1,1,5,14,1,18,2,1699,0,0.2567449,6.472813,2.15867,-1
21,F,1,1,5,15,2,19,3,3754,0,0.4285128,12.43665,1.919283,-1
21,F,1,1,5,16,2,18,2,1599,0,0.4910257,12.40629,2.208594,-1
21,F,1,1,6,1,2,23,3,3688,0,0.347107,12.44111,1.559092,-1
21,F,1,1,6,2,1,22,2,1254,0,0.2113629,6.473577,1.786298,-1
21,F,1,1,6,3,5,21,1,1865,0,4.951286E-08,6.418583,0,-1
21,F,1,1,6,4,1,24,4,5087,1,0.3166097,6.437198,2.68285,-1
21,F,1,1,6,5,5,22,2,2787,1,0.1005622,6.462056,0.8418618,-1
21,F,1,1,6,6,2,24,4,2965,0,0.4177973,12.40525,1.901457,-1
21,F,1,1,6,7,1,23,3,4132,1,0.2566029,6.412599,2.221847,-1
21,F,1,1,6,8,5,24,4,4732,0,0.2358589,6.435477,2.003693,-1
21,F,1,1,6,9,5,23,3,3621,0,0.2927757,6.425256,2.467121,-1
21,F,1,1,6,10,1,21,1,1710,0,0.349255,6.42898,2.944106,-1
21,F,1,1,6,11,6,23,3,4654,2,0.19872,12.40959,0.9033066,-1
21,F,1,1,6,12,2,22,2,2677,0,0.2936323,12.40658,1.327217,-1
21,F,1,1,6,13,2,21,1,4765,0,0.637956,12.52211,2.894891,-1
21,F,1,1,6,14,6,24,4,6543,3,0.4736038,12.41086,2.139363,-1
21,F,1,1,6,15,6,21,1,2032,0,0.4394403,12.47177,1.992821,-1
21,F,1,1,6,16,6,22,2,1698,0,0.3077622,12.41056,1.395917,-1
21,F,1,1,7,1,5,27,3,3087,0,0.2165831,6.418535,1.833444,-1
21,F,1,1,7,2,2,26,2,2020,0,0.362592,12.4118,1.650549,-1
21,F,1,1,7,3,6,27,3,5821,2,0.9304743,12.41253,4.148079,-1
21,F,1,1,7,4,1,25,1,2732,0,0.2883673,6.428212,2.417675,-1
21,F,1,1,7,5,2,28,4,4896,1,0.2047033,12.41156,0.9289381,-1
21,F,1,1,7,6,6,25,1,2034,0,0.3777798,12.51933,1.710636,-1
21,F,1,1,7,7,1,28,4,9999,6,-1,-1,-1,-1
21,F,1,1,7,8,2,25,1,8910,3,0.7260188,12.52519,3.254016,-1
21,F,1,1,7,9,1,27,3,3443,0,2.239346E-07,6.422309,0,-1
21,F,1,1,7,10,5,26,2,2988,1,0.1370769,6.456798,1.159272,-1
21,F,1,1,7,11,5,25,1,2232,0,2.952498E-08,6.416051,0,-1
21,F,1,1,7,12,2,27,3,3588,0,1.055747,12.43589,4.827305,-1
21,F,1,1,7,13,6,26,2,2354,0,0.3535368,12.41001,1.609246,-1
21,F,1,1,7,14,6,28,4,9999,2,-1,-1,-1,-1
21,F,1,1,7,15,1,26,2,1654,0,0.2276622,6.480468,1.934214,-1
21,F,1,1,7,16,5,28,4,3677,0,0.4603244,6.4471,3.924858,-1
21,F,1,1,8,1,1,30,2,1510,0,0.2717708,6.481588,2.277698,-1
21,F,1,1,8,2,5,29,1,1554,0,0.3494517,6.440108,2.972889,-1
21,F,1,1,8,3,5,32,4,7865,4,0.07190948,6.448946,0.6097356,-1
21,F,1,1,8,4,2,30,2,8165,4,0.4966925,12.41856,2.236684,-1
21,F,1,1,8,5,6,32,4,9999,0,-1,-1,-1,-1
21,F,1,1,8,6,2,31,3,4610,2,0.9991919,12.43384,4.52619,-1
21,F,1,1,8,7,6,29,1,1910,0,0.03300349,12.47555,0.1467098,-1
21,F,1,1,8,8,5,30,2,1921,0,0.4250358,6.47146,3.592487,-1
21,F,1,1,8,9,2,29,1,2010,0,0.335403,12.51737,1.519297,-1
21,F,1,1,8,10,6,31,3,2799,0,0.7458152,12.39569,3.375915,-1
21,F,1,1,8,11,2,32,4,4821,3,7.76532E-08,12.4105,0,-1
21,F,1,1,8,12,1,31,3,3877,0,0.1733321,6.418576,1.468338,-1
21,F,1,1,8,13,1,32,4,4766,2,0.2681856,6.443976,2.261486,-1
21,F,1,1,8,14,6,30,2,1810,0,0.9440174,12.42382,4.313751,-1
21,F,1,1,8,15,1,29,1,1798,0,0.2612074,6.428775,2.21576,-1
21,F,1,1,8,16,5,31,3,7232,4,0.3000987,6.411027,2.578153,-1
21,F,1,1,9,1,5,33,1,1577,0,7.142843E-08,6.429921,0,-1
21,F,1,1,9,2,2,36,4,4165,2,0.8793895,12.41112,3.935073,-1
21,F,1,1,9,3,5,35,3,2610,0,0.4991681,6.430675,4.176311,-1
21,F,1,1,9,4,2,33,1,2554,1,0.7407638,12.52683,3.349423,-1
21,F,1,1,9,5,5,36,4,6054,2,0.2601101,6.446947,2.209923,-1
21,F,1,1,9,6,1,34,2,4576,2,0.222058,6.487211,1.868965,-1
21,F,1,1,9,7,1,35,3,4699,1,0.353689,6.43349,2.974074,-1
21,F,1,1,9,8,5,34,2,3777,0,0.3342669,6.4803,2.866623,-1
21,F,1,1,9,9,6,35,3,4476,1,0.7681088,12.42532,3.420565,-1
21,F,1,1,9,10,2,34,2,4054,2,0.5300984,12.42003,2.388927,-1
21,F,1,1,9,11,6,33,1,4232,2,0.3943584,12.47618,1.786079,-1
21,F,1,1,9,12,2,35,3,3798,0,0.2065757,12.44337,0.9356545,-1
21,F,1,1,9,13,6,36,4,9121,6,0.3106928,12.44459,1.395356,-1
21,F,1,1,9,14,6,34,2,6065,0,0.4671029,12.43171,2.126701,-1
21,F,1,1,9,15,1,36,4,4809,2,0.2787424,6.448182,2.346103,-1
21,F,1,1,9,16,1,33,1,2798,1,2.285144E-08,6.43273,0,-1
21,F,1,1,10,1,1,39,3,4965,0,0.06879847,6.431645,0.5845029,-1
21,F,1,1,10,2,1,37,1,1665,0,0.04007521,6.442608,0.339197,-1
21,F,1,1,10,3,2,38,2,1443,0,0.6035711,12.42983,2.731726,-1
21,F,1,1,10,4,1,40,4,3065,0,0.3116498,6.437106,2.647006,-1
21,F,1,1,10,5,6,39,3,2732,0,0.6878754,12.4125,3.06631,-1
21,F,1,1,10,6,5,40,4,4110,0,0.08516446,6.445603,0.7170975,-1
21,F,1,1,10,7,1,38,2,1987,0,0.2918164,6.490343,2.442724,-1
21,F,1,1,10,8,6,37,1,3354,1,0.4320614,12.47482,1.953544,-1
21,F,1,1,10,9,2,40,4,1776,0,0.9939842,12.42393,4.554491,-1
21,F,1,1,10,10,5,39,3,2632,0,0.4749021,6.426156,3.996206,-1
21,F,1,1,10,11,5,37,1,3654,0,9.769332E-08,6.428132,0,-1
21,F,1,1,10,12,5,38,2,3432,2,0.1450005,6.472993,1.219489,-1
21,F,1,1,10,13,6,40,4,2887,0,0.5976729,12.41566,2.687443,-1
21,F,1,1,10,14,2,37,1,4099,0,0.3286682,12.53476,1.473128,-1
21,F,1,1,10,15,6,38,2,1710,0,0.07798081,12.42567,0.3516591,-1
21,F,1,1,10,16,2,39,3,6443,3,1.041555,12.44225,4.778605,-1
21,F,1,1,11,1,3,42,2,3254,1,2.182978E-09,6.483881,0,-1
21,F,1,1,11,2,6,44,4,2799,0,0.6111619,12.4101,2.743382,-1
21,F,1,1,11,3,5,42,2,2465,0,0.5352061,6.463143,4.502282,-1
21,F,1,1,11,4,3,41,1,1843,0,0.04851004,6.435237,0.4102162,-1
21,F,1,1,11,5,6,42,2,3832,2,0.1788998,12.45993,0.8093922,-1
21,F,1,1,11,6,5,41,1,2154,0,0.06199503,6.450716,0.5252593,-1
21,F,1,1,11,7,4,44,4,4677,2,0.9032729,12.41383,4.039633,-1
21,F,1,1,11,8,3,43,3,3576,0,0.1140152,6.427263,0.9661109,-1
21,F,1,1,11,9,4,41,1,2898,0,0.1708589,12.53026,0.7699938,-1
21,F,1,1,11,10,5,44,4,4599,1,0.5192528,6.440679,4.409222,-1
21,F,1,1,11,11,4,43,3,2865,0,0.6781282,12.44565,3.055053,-1
21,F,1,1,11,12,3,44,4,4521,1,0.1530779,6.441425,1.298901,-1
21,F,1,1,11,13,6,41,1,3888,2,0.2618806,12.48089,1.180515,-1
21,F,1,1,11,14,5,43,3,8476,6,0.2779908,6.417618,2.378992,-1
21,F,1,1,11,15,4,42,2,2855,0,0.6259831,12.42212,2.808329,-1
21,F,1,1,11,16,6,43,3,3932,1,0.8064323,12.4512,3.615142,-1
21,F,1,1,12,1,3,45,1,1699,0,0.04986733,6.439714,0.4261257,-1
21,F,1,1,12,2,6,47,3,4909,2,0.7846904,12.45803,3.517973,-1
21,F,1,1,12,3,4,46,2,1443,0,0.2761386,12.42188,1.251639,-1
21,F,1,1,12,4,4,45,1,7520,6,0.1971663,12.5222,0.8888945,-1
21,F,1,1,12,5,3,47,3,3710,0,0.5266958,6.419988,4.522596,-1
21,F,1,1,12,6,6,45,1,6409,2,0.8013358,12.48646,3.604185,-1
21,F,1,1,12,7,6,48,4,4109,2,0.4295772,12.45544,1.92854,-1
21,F,1,1,12,8,5,47,3,7210,6,0.3040885,6.427946,2.565672,-1
21,F,1,1,12,9,6,46,2,3321,1,1.00468,12.45313,4.51783,-1
21,F,1,1,12,10,4,48,4,9531,7,0.3048449,12.42245,1.373731,-1
21,F,1,1,12,11,5,46,2,2343,0,0.3227563,6.467371,2.71779,-1
21,F,1,1,12,12,3,48,4,4621,1,0.5025272,6.434632,4.263608,-1
21,F,1,1,12,13,3,46,2,8598,8,0.2877395,6.478414,2.416542,-1
21,F,1,1,12,14,5,45,1,3143,1,0.4569634,6.43912,3.880856,-1
21,F,1,1,12,15,5,48,4,5854,2,0.1232219,6.461976,1.048105,-1
21,F,1,1,12,16,4,47,3,7365,4,0.7146772,12.45719,3.203935,-1
21,F,1,1,13,1,3,52,4,4121,2,0.2230335,6.436567,1.893929,-1
21,F,1,1,13,2,4,49,1,3965,1,0.5589069,12.53229,2.507958,-1
21,F,1,1,13,3,5,50,2,2121,0,1.127709E-07,6.473442,0,-1
21,F,1,1,13,4,3,49,1,1698,0,0.4654715,6.440989,3.952799,-1
21,F,1,1,13,5,4,51,3,3132,0,0.5314882,12.45238,2.381952,-1
21,F,1,1,13,6,6,50,2,3366,1,1.250543E-07,12.42099,0,-1
21,F,1,1,13,7,5,51,3,4243,1,0.1355333,6.462967,1.147736,-1
21,F,1,1,13,8,5,49,1,2165,0,0.3149428,6.434741,2.711444,-1
21,F,1,1,13,9,3,50,2,2132,0,0.009744542,6.486784,0.08392937,-1
21,F,1,1,13,10,5,52,4,3942,0,0.0312162,6.443697,0.2639296,-1
21,F,1,1,13,11,6,49,1,2210,0,0.6243385,12.48821,2.818626,-1
21,F,1,1,13,12,4,52,4,2277,0,0.4061685,12.41746,1.852874,-1
21,F,1,1,13,13,6,51,3,2866,0,0.5981638,12.45163,2.680076,-1
21,F,1,1,13,14,4,50,2,1799,0,0.2911236,12.4224,1.312986,-1
21,F,1,1,13,15,3,51,3,5432,1,0.2834553,6.421882,2.458299,-1
21,F,1,1,13,16,6,52,4,3610,0,0.7149678,12.41283,3.209125,-1
21,F,1,1,14,1,6,54,2,3043,2,0.6148065,12.41242,2.763288,-1
21,F,1,1,14,2,5,53,1,1932,0,0.251579,6.435479,2.130195,-1
21,F,1,1,14,3,3,56,4,3021,0,0.5138271,6.435236,4.358153,-1
21,F,1,1,14,4,3,54,2,1588,0,0.4644471,6.483966,3.942629,-1
21,F,1,1,14,5,3,55,3,2965,0,0.4103737,6.433244,3.451789,-1
21,F,1,1,14,6,6,56,4,4932,3,0.5290819,12.42415,2.408835,-1
21,F,1,1,14,7,6,55,3,3421,0,1.330128E-07,12.42599,0,-1
21,F,1,1,14,8,3,53,1,1921,0,0.08826531,6.442926,0.7433581,-1
21,F,1,1,14,9,4,54,2,1832,0,0.9295921,12.42996,4.258276,-1
21,F,1,1,14,10,4,55,3,3121,0,0.1139985,12.45474,0.5124369,-1
21,F,1,1,14,11,4,56,4,2632,0,0.7940291,12.4201,3.640079,-1
21,F,1,1,14,12,5,54,2,2654,0,0.2731503,6.478335,2.295502,-1
21,F,1,1,14,13,5,56,4,3476,0,0.3135839,6.445613,2.686933,-1
21,F,1,1,14,14,4,53,1,5921,0,0.08758719,12.5386,0.393167,-1
21,F,1,1,14,15,5,55,3,3976,1,0.3044191,6.456007,2.603463,-1
21,F,1,1,14,16,6,53,1,2865,1,0.4625841,12.48899,2.076883,-1
21,F,1,1,15,1,4,59,3,4731,2,0.006225169,12.45304,0.03426402,-1
21,F,1,1,15,2,6,58,2,3610,0,0.1407372,12.4246,0.6327289,-1
21,F,1,1,15,3,4,60,4,2976,0,1.009125,12.41302,4.525887,-1
21,F,1,1,15,4,6,57,1,1574,0,0.4664213,12.48468,2.116738,-1
21,F,1,1,15,5,4,58,2,1988,0,0.1967602,12.42955,0.8888945,-1
21,F,1,1,15,6,3,57,1,2998,1,2.861812E-08,6.434678,0,-1
21,F,1,1,15,7,3,60,4,4965,2,0.5015233,6.44564,4.256666,-1
21,F,1,1,15,8,5,58,2,2699,0,0.07333978,6.468812,0.6177064,-1
21,F,1,1,15,9,4,57,1,1776,0,0.4063466,12.5307,1.841219,-1
21,F,1,1,15,10,6,59,3,4454,2,0.4169142,12.4313,1.858674,-1
21,F,1,1,15,11,5,57,1,1776,0,0.2571944,6.442362,2.162294,-1
21,F,1,1,15,12,3,59,3,7443,4,0.430119,6.423653,3.707976,-1
21,F,1,1,15,13,5,60,4,5421,3,0.2028845,6.450355,1.706856,-1
21,F,1,1,15,14,5,59,3,4888,0,0.1042675,6.477729,0.881156,-1
21,F,1,1,15,15,6,60,4,3931,0,0.5712371,12.4271,2.594878,-1
21,F,1,1,15,16,3,58,2,4654,3,0.3032629,6.48965,2.53937,-1
21,F,1,1,16,1,4,63,3,5010,1,2.624546E-07,12.46126,0,-1
21,F,1,1,16,2,3,62,2,3276,1,0.02838604,6.493696,0.2390311,-1
21,F,1,1,16,3,6,61,1,3232,0,0.3512328,12.49048,1.588439,-1
21,F,1,1,16,4,4,64,4,3043,0,0.2374666,12.4308,1.075382,-1
21,F,1,1,16,5,5,61,1,2499,1,0.1843502,6.430257,1.57607,-1
21,F,1,1,16,6,5,64,4,3832,0,0.4672581,6.446609,3.964769,-1
21,F,1,1,16,7,5,63,3,4121,2,0.06377348,6.43701,0.5442861,-1
21,F,1,1,16,8,3,61,1,1976,0,0.1291134,6.438725,1.101629,-1
21,F,1,1,16,9,4,62,2,1965,0,0.6784468,12.42855,3.10709,-1
21,F,1,1,16,10,3,63,3,4621,1,0.1398826,6.446547,1.181509,-1
21,F,1,1,16,11,6,62,2,8576,2,0.332067,12.43057,1.504672,-1
21,F,1,1,16,12,3,64,4,4843,2,0.0720526,6.456928,0.6068404,-1
21,F,1,1,16,13,4,61,1,7432,5,0.3207987,12.53268,1.444826,-1
21,F,1,1,16,14,6,63,3,3276,0,0.1560113,12.42044,0.7038778,-1
21,F,1,1,16,15,5,62,2,2309,0,0.0557121,6.474241,0.4689721,-1
21,F,1,1,16,16,6,64,4,3165,0,0.0132985,12.461,0.05934703,-1
21,F,1,1,17,1,5,65,1,2821,1,0.1990152,6.465503,1.70869,-1
21,F,1,1,17,2,3,68,4,8331,6,0.3600656,6.471269,3.085467,-1
21,F,1,1,17,3,3,65,1,6054,6,0.2935771,6.444913,2.508739,-1
21,F,1,1,17,4,4,66,2,3521,1,0.238797,12.44815,1.080465,-1
