Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
20,M,1,1,1,1,6,4,4,3665,0,3.853201E-07,12.2715,0,-1
20,M,1,1,1,2,6,1,1,1910,0,0.03506878,12.15338,0.1619255,-1
20,M,1,1,1,3,5,2,2,2354,0,0.2058792,6.048367,1.84536,-1
20,M,1,1,1,4,6,3,3,3343,0,0.3347756,12.30351,1.533911,-1
20,M,1,1,1,5,1,1,1,3332,0,0.2426912,6.157894,2.137349,-1
20,M,1,1,1,6,1,4,4,4065,0,1.370328E-07,6.253131,0,-1
20,M,1,1,1,7,2,2,2,2410,0,0.3584969,12.06125,1.659772,-1
20,M,1,1,1,8,1,3,3,1798,0,0.1001703,6.376749,0.8704314,-1
20,M,1,1,1,9,6,2,2,1409,0,0.8692045,12.07219,4.031626,-1
20,M,1,1,1,10,2,3,3,1721,0,0.1079756,12.29562,0.4941643,-1
20,M,1,1,1,11,5,1,1,1665,0,0.2079463,6.161428,1.825528,-1
20,M,1,1,1,12,2,4,4,3332,0,0.3105037,12.2597,1.410282,-1
20,M,1,1,1,13,5,3,3,2165,0,0.3387006,6.384487,2.921747,-1
20,M,1,1,1,14,5,4,4,1899,0,0.4174325,6.193966,3.675197,-1
20,M,1,1,1,15,1,2,2,2954,0,0.1591461,6.109198,1.438719,-1
20,M,1,1,1,16,2,1,1,1620,0,0.2415354,12.08751,1.112939,-1
20,M,1,1,2,1,6,8,4,1644,0,0.03283368,12.2499,0.1493534,-1
20,M,1,1,2,2,5,5,1,3609,0,0.06673097,6.162499,0.5888388,-1
20,M,1,1,2,3,5,8,4,4176,0,0.1138558,6.241322,0.9958329,-1
20,M,1,1,2,4,5,6,2,2587,0,0.1211727,6.101416,1.097001,-1
20,M,1,1,2,5,2,8,4,2854,0,1.038159,12.26378,4.789129,-1
20,M,1,1,2,6,2,7,3,1743,0,0.6198134,12.30038,2.841933,-1
20,M,1,1,2,7,1,5,1,1832,0,0.0586996,6.1686,0.518133,-1
20,M,1,1,2,8,1,8,4,2099,0,0.3143196,6.248353,2.80512,-1
20,M,1,1,2,9,6,6,2,2099,0,0.8110685,12.0692,3.762443,-1
20,M,1,1,2,10,2,5,1,2521,0,0.1409592,12.07637,0.651921,-1
20,M,1,1,2,11,2,6,2,2065,0,0.4325453,12.06183,1.999195,-1
20,M,1,1,2,12,6,7,3,9565,0,0.8501457,12.27737,3.898476,-1
20,M,1,1,2,13,1,6,2,2398,0,2.257503E-08,6.100856,0,-1
20,M,1,1,2,14,1,7,3,5420,0,0.03367455,6.359165,0.2914124,-1
20,M,1,1,2,15,6,5,1,2221,0,0.4452192,12.08599,2.059376,-1
20,M,1,1,2,16,5,7,3,2587,0,0.1360577,6.338251,1.18184,-1
20,M,1,1,3,1,1,10,2,1165,0,0.2415518,6.09725,2.188743,-1
20,M,1,1,3,2,6,11,3,2632,0,0.02540984,12.27949,0.1170339,-1
20,M,1,1,3,3,2,9,1,1610,0,0.7220773,12.08645,3.309142,-1
20,M,1,1,3,4,2,11,3,1543,0,0.2012845,12.29125,0.9200482,-1
20,M,1,1,3,5,2,10,2,1454,0,0.405584,12.05211,1.876697,-1
20,M,1,1,3,6,1,12,4,5220,0,0.1942651,6.242339,1.731105,-1
20,M,1,1,3,7,5,9,1,2188,0,0.04157687,6.197914,0.3695653,-1
20,M,1,1,3,8,5,12,4,1443,0,0.2277819,6.223371,1.989972,-1
20,M,1,1,3,9,6,9,1,3321,0,0.7833298,12.08506,3.629575,-1
20,M,1,1,3,10,1,11,3,3632,0,0.12546,6.364149,1.078834,-1
20,M,1,1,3,11,2,12,4,2176,0,0.2201033,12.24537,1.007554,-1
20,M,1,1,3,12,1,9,1,2721,0,0.004743411,6.156536,0.04423466,-1
20,M,1,1,3,13,6,12,4,1954,0,0.1743388,12.24316,0.8025945,-1
20,M,1,1,3,14,6,10,2,9999,0,-1,-1,-1,-1
20,M,1,1,3,15,5,11,3,3176,0,0.1708423,6.321891,1.494624,-1
20,M,1,1,3,16,5,10,2,9331,4,0.2260638,5.997108,2.059091,-1
20,M,1,1,4,1,2,15,3,9999,0,-1,-1,-1,-1
