exp,subj,age,gender,condition,phase,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
2,1,19,F,proximal_repeated,1,7,0,1,8,1,27,3,3898,0,0.1380272,6.291222,1.207394,-1
2,1,19,F,proximal_repeated,1,8,0,1,1,1,32,4,3953,2,0.09639208,6.577221,0.8047857,-1
2,1,19,F,proximal_repeated,1,8,0,1,2,2,29,1,4353,6,0.9089813,12.04408,4.300928,-1
2,1,19,F,proximal_repeated,1,8,0,1,3,2,31,3,4364,1,0.8459965,12.35993,3.872723,-1
2,1,19,F,proximal_repeated,1,8,0,1,4,1,30,2,2720,0,0.3298547,6.649447,2.722323,-1
2,1,19,F,proximal_repeated,1,8,0,1,5,1,29,1,3697,3,0.5192444,6.293429,4.502978,-1
2,1,19,F,proximal_repeated,1,8,0,1,6,2,30,2,2997,0,0.5335174,12.47699,2.397106,-1
2,1,19,F,proximal_repeated,1,8,0,1,7,2,32,4,2542,0,0.4900535,12.41075,2.217173,-1
2,1,19,F,proximal_repeated,1,8,0,1,8,1,31,3,3319,0,0.1643154,6.273092,1.456965,-1
2,1,19,F,proximal_repeated,1,9,0,1,1,2,34,2,1820,0,0.4121887,12.48409,1.844511,-1
2,1,19,F,proximal_repeated,1,9,0,1,2,1,33,1,4042,4,0.4846451,6.288986,4.222898,-1
2,1,19,F,proximal_repeated,1,9,0,1,3,2,36,4,2164,0,0.1575814,12.41605,0.711894,-1
2,1,19,F,proximal_repeated,1,9,0,1,4,2,33,1,2187,1,1.044345,12.27403,4.863209,-1
2,1,19,F,proximal_repeated,1,9,0,1,5,1,36,4,3409,0,0.01128295,6.591438,0.09278741,-1
2,1,19,F,proximal_repeated,1,9,0,1,6,1,35,3,3342,0,0.149557,6.280386,1.323526,-1
2,1,19,F,proximal_repeated,1,9,0,1,7,1,34,2,2920,1,0.2887442,6.658101,2.378746,-1
2,1,19,F,proximal_repeated,1,9,0,1,8,2,35,3,4364,1,0.3632486,12.36137,1.65989,-1
2,1,19,F,proximal_repeated,1,10,0,1,1,1,40,4,2653,0,0.1622702,6.581366,1.35205,-1
2,1,19,F,proximal_repeated,1,10,0,1,2,1,38,2,3109,0,0.1398092,6.662431,1.143294,-1
2,1,19,F,proximal_repeated,1,10,0,1,3,1,37,1,4876,5,0.4582861,6.139769,4.20426,-1
2,1,19,F,proximal_repeated,1,10,0,1,4,2,38,2,2531,1,0.5384105,12.42754,2.445766,-1
2,1,19,F,proximal_repeated,1,10,0,1,5,2,39,3,3586,0,0.4647731,12.37188,2.121726,-1
2,1,19,F,proximal_repeated,1,10,0,1,6,2,40,4,2098,0,0.676706,12.43586,3.007326,-1
2,1,19,F,proximal_repeated,1,10,0,1,7,2,37,1,1720,0,0.6979249,12.27066,3.240813,-1
2,1,19,F,proximal_repeated,1,10,0,1,8,1,39,3,3431,0,0.06383244,6.293317,0.5581307,-1
2,1,19,F,proximal_repeated,1,11,0,1,1,2,41,1,2920,4,0.4004192,12.26817,1.840369,-1
2,1,19,F,proximal_repeated,1,11,0,1,2,1,42,2,2253,0,0.2246639,6.646628,1.854352,-1
2,1,19,F,proximal_repeated,1,11,0,1,3,2,43,3,2831,0,0.310632,12.37854,1.417065,-1
2,1,19,F,proximal_repeated,1,11,0,1,4,2,44,4,1554,0,0.04341898,12.43595,0.1958353,-1
2,1,19,F,proximal_repeated,1,11,0,1,5,2,42,2,2142,0,0.5964013,12.46225,2.673641,-1
2,1,19,F,proximal_repeated,1,11,0,1,6,1,43,3,1898,0,0.2928708,6.295443,2.541527,-1
2,1,19,F,proximal_repeated,1,11,0,1,7,1,41,1,1220,0,0.3828558,6.260903,3.396901,-1
2,1,19,F,proximal_repeated,1,11,0,1,8,1,44,4,2431,0,0.09014951,6.601714,0.749649,-1
2,1,19,F,proximal_repeated,1,12,0,1,1,2,46,2,4453,0,0.2920921,12.4637,1.308956,-1
2,1,19,F,proximal_repeated,1,12,0,1,2,2,47,3,2453,0,0.2628897,12.37816,1.194685,-1
2,1,19,F,proximal_repeated,1,12,0,1,3,1,45,1,1920,0,0.5003648,6.273237,4.32821,-1
2,1,19,F,proximal_repeated,1,12,0,1,4,1,46,2,2553,0,1.342708e-7,6.65253,0,-1
2,1,19,F,proximal_repeated,1,12,0,1,5,1,48,4,2175,0,0.04109263,6.592682,0.3403488,-1
2,1,19,F,proximal_repeated,1,12,0,1,6,1,47,3,4787,3,0.2071513,6.291942,1.810241,-1
2,1,19,F,proximal_repeated,1,12,0,1,7,2,45,1,3275,4,0.9833853,12.00817,4.6566090000000004,-1
2,1,19,F,proximal_repeated,1,12,0,1,8,2,48,4,2309,0,0.3252403,12.41321,1.474588,-1
2,1,19,F,proximal_repeated,1,13,0,1,1,2,51,3,1719,0,0.7508656,12.37276,3.391883,-1
2,1,19,F,proximal_repeated,1,13,0,1,2,2,49,1,1164,0,0.4838594,12.29195,2.207796,-1
2,1,19,F,proximal_repeated,1,13,0,1,3,1,50,2,3308,0,0.3873617,6.655324,3.159263,-1
2,1,19,F,proximal_repeated,1,13,0,1,4,1,51,3,2920,1,5.924479e-8,6.279662,0,-1
2,1,19,F,proximal_repeated,1,13,0,1,5,1,52,4,2476,0,0.1305989,6.581274,1.093069,-1
2,1,19,F,proximal_repeated,1,13,0,1,6,2,50,2,2009,0,1.055167,12.45858,4.757734,-1
2,1,19,F,proximal_repeated,1,13,0,1,7,1,49,1,3931,5,0.4965608,6.123748,4.516746,-1
2,1,19,F,proximal_repeated,1,13,0,1,8,2,52,4,1842,0,0.1199298,12.42168,0.5395923,-1
2,1,19,F,proximal_repeated,1,14,0,1,1,1,55,3,920,0,0.462884,6.30045,4.002425,-1
2,1,19,F,proximal_repeated,1,14,0,1,2,1,54,2,2720,0,0.354357,6.638723,2.928974,-1
2,1,19,F,proximal_repeated,1,14,0,1,3,1,53,1,1520,0,0.006103008,6.272185,0.04845664,-1
2,1,19,F,proximal_repeated,1,14,0,1,4,1,56,4,2342,0,0.1027971,6.611719,0.8425589,-1
2,1,19,F,proximal_repeated,1,14,0,1,5,2,55,3,2831,0,0.05708139,12.38866,0.2594432,-1
2,1,19,F,proximal_repeated,1,14,0,1,6,2,56,4,1398,0,0.2394008,12.44313,1.069177,-1
2,1,19,F,proximal_repeated,1,14,0,1,7,2,54,2,2854,0,0.3218135,12.47402,1.443472,-1
2,1,19,F,proximal_repeated,1,14,0,1,8,2,53,1,1264,0,0.3025838,12.2919,1.38211,-1
2,1,19,F,proximal_repeated,1,15,0,1,1,2,60,4,1498,0,0.735427,12.4402,3.301619,-1
2,1,19,F,proximal_repeated,1,15,0,1,2,2,58,2,1742,1,0.9647376,12.4592,4.351632,-1
2,1,19,F,proximal_repeated,1,15,0,1,3,2,59,3,1987,0,0.03053532,12.39204,0.1370561,-1
2,1,19,F,proximal_repeated,1,15,0,1,4,1,58,2,4109,0,0.2985529,6.645737,2.460288,-1
2,1,19,F,proximal_repeated,1,15,0,1,5,2,57,1,1342,0,1.028416,12.27407,4.77963,-1
2,1,19,F,proximal_repeated,1,15,0,1,6,1,59,3,1820,0,0.01124151,6.302827,0.09691329,-1
2,1,19,F,proximal_repeated,1,15,0,1,7,1,57,1,1087,0,0.5352225,6.278346,4.671267,-1
2,1,19,F,proximal_repeated,1,15,0,1,8,1,60,4,2531,1,3.56298e-7,6.615143,0,-1
2,1,19,F,proximal_repeated,1,16,0,1,1,1,62,2,2465,0,0.5619072,6.641292,4.645701,-1
2,1,19,F,proximal_repeated,1,16,0,1,2,2,63,3,1887,0,0.7276829,12.40334,3.317827,-1
2,1,19,F,proximal_repeated,1,16,0,1,3,2,62,2,1231,0,0.1555606,12.47176,0.6985759,-1
2,1,19,F,proximal_repeated,1,16,0,1,4,2,64,4,1653,0,0.7701933,12.45588,3.434161,-1
2,1,19,F,proximal_repeated,1,16,0,1,5,2,61,1,2875,2,0.9134005,12.27191,4.180342,-1
2,1,19,F,proximal_repeated,1,16,0,1,6,1,64,4,3331,1,0.03701232,6.611342,0.3064671,-1
2,1,19,F,proximal_repeated,1,16,0,1,7,1,61,1,2520,0,0.1607438,6.267617,1.412223,-1
2,1,19,F,proximal_repeated,1,16,0,1,8,1,63,3,2409,0,0.3205194,6.283358,2.865667,-1
2,1,19,F,proximal_repeated,1,17,0,1,1,4,68,4,4364,1,0.08876427,12.46147,0.3990945,-1
2,1,19,F,proximal_repeated,1,17,0,1,2,3,66,2,9999,1,-1,-1,-1,-1
