Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
19,F,0,1,1,1,1,3,3,2365,0,0.003194702,6.194534,0.02797646,-1
19,F,0,1,1,2,2,1,1,4242,0,0.8910304,12.24943,4.116992,-1
19,F,0,1,1,3,1,2,2,1709,0,0.3191226,6.458041,2.698709,-1
19,F,0,1,1,4,1,4,4,5209,1,0.4254141,6.448975,3.650071,-1
19,F,0,1,1,5,2,3,3,1887,0,9.905959E-08,12.18555,0,-1
19,F,0,1,1,6,2,2,2,4564,0,0.8064305,12.39621,3.63157,-1
19,F,0,1,1,7,2,4,4,2009,0,0.1374845,12.42868,0.6183397,-1
19,F,0,1,1,8,1,1,1,1720,0,1.786238E-07,6.198313,0,-1
19,F,0,1,2,1,2,7,3,9999,3,-1,-1,-1,-1
19,F,0,1,2,2,2,8,4,1964,0,0.5389531,12.41201,2.42487,-1
19,F,0,1,2,3,1,6,2,1309,0,0.1124364,6.42261,0.9532654,-1
19,F,0,1,2,4,1,8,4,6998,9,0.5466195,6.390844,4.745284,-1
19,F,0,1,2,5,2,6,2,9999,0,-1,-1,-1,-1
19,F,0,1,2,6,2,5,1,7186,0,0.7518148,12.19037,3.514744,-1
19,F,0,1,2,7,1,7,3,5698,0,0.479629,6.221928,4.233413,-1
19,F,0,1,2,8,1,5,1,3242,0,0.2127357,6.133972,1.900428,-1
19,F,0,1,3,1,1,10,2,3376,0,0.4782943,6.439113,4.016199,-1
19,F,0,1,3,2,2,9,1,2264,0,0.5415812,12.22112,2.498027,-1
19,F,0,1,3,3,2,10,2,3064,1,0.190528,12.38485,0.8616194,-1
19,F,0,1,3,4,2,12,4,1453,0,0.3781564,12.43688,1.698005,-1
19,F,0,1,3,5,2,11,3,2165,0,0.8268621,12.18204,3.77595,-1
19,F,0,1,3,6,1,12,4,4109,1,0.5323308,6.424488,4.596701,-1
19,F,0,1,3,7,1,9,1,1320,0,0.2478191,6.169709,2.235196,-1
19,F,0,1,3,8,1,11,3,3609,2,1.936271E-07,6.178793,0,-1
19,F,0,1,4,1,1,16,4,2387,1,0.5452092,6.424859,4.702905,-1
19,F,0,1,4,2,1,15,3,3020,0,0.02150973,6.19036,0.1887116,-1
19,F,0,1,4,3,2,16,4,2154,1,0.02074383,12.41422,0.09278741,-1
19,F,0,1,4,4,2,15,3,1931,0,0.5426152,12.16393,2.492379,-1
19,F,0,1,4,5,2,14,2,5920,0,0.1898432,12.36535,0.8666012,-1
19,F,0,1,4,6,2,13,1,1209,0,0.4031487,12.20209,1.870953,-1
19,F,0,1,4,7,1,14,2,2353,0,0.2389626,6.391531,2.03134,-1
19,F,0,1,4,8,1,13,1,1442,0,0.3457982,6.167325,3.068607,-1
19,F,0,1,5,1,2,20,4,4120,3,0.7226725,12.34805,3.265247,-1
19,F,0,1,5,2,1,19,3,2087,0,0.4218982,6.140649,3.752281,-1
19,F,0,1,5,3,1,20,4,5920,0,0.1915514,6.40745,1.656703,-1
19,F,0,1,5,4,2,19,3,1065,0,1.031748,12.13568,4.730109,-1
19,F,0,1,5,5,2,17,1,5676,1,0.869252,12.12047,4.074965,-1
19,F,0,1,5,6,2,18,2,2320,0,0.3498604,12.36593,1.599243,-1
19,F,0,1,5,7,1,17,1,9309,0,0.1960867,6.186968,1.758918,-1
19,F,0,1,5,8,1,18,2,2065,1,2.219608E-07,6.441635,0,-1
19,F,0,1,6,1,1,23,3,1931,2,0.1732789,6.200844,1.518009,-1
19,F,0,1,6,2,1,22,2,1476,0,0.1394693,6.423953,1.18366,-1
19,F,0,1,6,3,2,24,4,6175,3,0.7383695,12.30381,3.350943,-1
19,F,0,1,6,4,2,21,1,2364,1,0.4539669,12.1984,2.11174,-1
19,F,0,1,6,5,2,22,2,4909,1,0.8620645,12.37146,3.941288,-1
19,F,0,1,6,6,2,23,3,1564,0,0.6032549,12.15289,2.774176,-1
19,F,0,1,6,7,1,21,1,1631,0,0.1842276,6.167427,1.637336,-1
19,F,0,1,6,8,1,24,4,4175,3,0.1211913,6.444024,1.02412,-1
19,F,0,1,7,1,1,25,1,1598,0,0.07885326,6.17844,0.7044336,-1
19,F,0,1,7,2,2,27,3,4087,4,0.9474006,12.13476,4.355996,-1
19,F,0,1,7,3,2,25,1,3798,1,0.4292223,12.21403,1.989086,-1
19,F,0,1,7,4,1,28,4,6209,6,0.3890674,6.427725,3.355614,-1
19,F,0,1,7,5,1,26,2,1631,0,0.44679,6.457338,3.776624,-1
19,F,0,1,7,6,2,28,4,2253,0,0.7696666,12.41573,3.441166,-1
19,F,0,1,7,7,1,27,3,2320,2,0.3485667,6.186447,3.080578,-1
19,F,0,1,7,8,2,26,2,3253,0,0.6727825,12.38826,3.094653,-1
